sol,attitude,imageid,caption,sample_type,date_taken_mars,credit,date_taken_utc,json_link,link,drive,title,site,date_received,extended_mastAz,extended_mastEl,extended_sclk,extended_scaleFactor,extended_xyz,extended_subframeRect,extended_dimension,image_files_medium,image_files_small,image_files_full_res,image_files_large,camera_filter_name,camera_camera_vector,camera_camera_model_component_list,camera_camera_position,camera_instrument,camera_camera_model_type
308,"(0.42844403,0.07190133,0.025355631,-0.90034604)",WSM_0308_0694306584_000ECM_N0090000MEDA00000_0000LUJ,"NASA's Mars Perseverance rover acquired this image using the SkyCam, an upward-facing camera located on the top deck of the rover. 

This image was acquired on Jan. 1, 2022 (Sol 308) at the local mean solar time of 18:53:09.",Full,Sol-00308M18:53:09.809,NASA/JPL-Caltech/CAB,2022-01-01T11:01:59.892,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=WSM_0308_0694306584_000ECM_N0090000MEDA00000_0000LUJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=WSM_0308_0694306584_000ECM_N0090000MEDA00000_0000LUJ,0,Mars Perseverance Sol 308: SkyCam Camera ,9,2022-01-01T20:57:35Z,UNK,UNK,694306613.999,UNK,"(0.0,0.0,0.0)","(1,1,2048,1024)","(1056,1024)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/meda/WSM_0308_0694306584_000ECM_N0090000MEDA00000_0000LUJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/meda/WSM_0308_0694306584_000ECM_N0090000MEDA00000_0000LUJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/meda/WSM_0308_0694306584_000ECM_N0090000MEDA00000_0000LUJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/meda/WSM_0308_0694306584_000ECM_N0090000MEDA00000_0000LUJ01_1200.jpg,UNK,UNK,UNK,UNK,SKYCAM,UNK
308,"(0.42844403,0.07190133,0.025355631,-0.90034604)",WSM_0308_0694288314_000ECM_N0090000MEDA00000_0000LUJ,"NASA's Mars Perseverance rover acquired this image using the SkyCam, an upward-facing camera located on the top deck of the rover. 

This image was acquired on Jan. 1, 2022 (Sol 308) at the local mean solar time of 13:56:48.",Full,Sol-00308M13:56:48.495,NASA/JPL-Caltech/CAB,2022-01-01T05:57:00.548,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=WSM_0308_0694288314_000ECM_N0090000MEDA00000_0000LUJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=WSM_0308_0694288314_000ECM_N0090000MEDA00000_0000LUJ,0,Mars Perseverance Sol 308: SkyCam Camera ,9,2022-01-01T15:49:53Z,UNK,UNK,694288314.799,UNK,"(0.0,0.0,0.0)","(1,1,2048,1024)","(1056,1024)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/meda/WSM_0308_0694288314_000ECM_N0090000MEDA00000_0000LUJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/meda/WSM_0308_0694288314_000ECM_N0090000MEDA00000_0000LUJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/meda/WSM_0308_0694288314_000ECM_N0090000MEDA00000_0000LUJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/meda/WSM_0308_0694288314_000ECM_N0090000MEDA00000_0000LUJ01_1200.jpg,UNK,UNK,UNK,UNK,SKYCAM,UNK
308,"(0.428444,0.0719013,0.0253556,-0.900346)",NLG_0308_0694283853_630ECM_N0090000NCAM00520_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Jan. 1, 2022 (Sol 308) at the local mean solar time of 12:44:27.",Full,Sol-00308M12:44:27.432,NASA/JPL-Caltech,2022-01-01T04:42:40.270,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0308_0694283853_630ECM_N0090000NCAM00520_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0308_0694283853_630ECM_N0090000NCAM00520_00_2I4J,0,Mars Perseverance Sol 308: Left Navigation Camera (Navcam),9,2022-01-01T15:42:13Z,89.161,-1.20618,694283854.556,4,"(0.0,0.0,0.0)","(1,1409,5120,1024)","(1280,256)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283853_630ECM_N0090000NCAM00520_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283853_630ECM_N0090000NCAM00520_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283853_630ECM_N0090000NCAM00520_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283853_630ECM_N0090000NCAM00520_00_2I4J01_1200.jpg,UNK,"(0.013690357840783218,0.9996698102057008,0.02174499173348648)","(1.01992,0.6887,-1.97334);(0.00237243,0.999588,0.0288619);(-738.077,649.911,16.3564);(-1.96172,111.897,742.99);(0.000955853,0.999588,0.0289603);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(1.01992,0.6887,-1.97334)",NAVCAM_LEFT,CAHVORE
308,"(0.428444,0.0719013,0.0253556,-0.900346)",NLG_0308_0694283849_346ECM_N0090000NCAM00520_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Jan. 1, 2022 (Sol 308) at the local mean solar time of 12:44:23.",Full,Sol-00308M12:44:23.263,NASA/JPL-Caltech,2022-01-01T04:42:35.986,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0308_0694283849_346ECM_N0090000NCAM00520_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0308_0694283849_346ECM_N0090000NCAM00520_00_2I4J,0,Mars Perseverance Sol 308: Left Navigation Camera (Navcam),9,2022-01-01T15:42:13Z,89.161,-1.20618,694283850.272,4,"(0.0,0.0,0.0)","(1,1409,5120,1024)","(1280,256)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283849_346ECM_N0090000NCAM00520_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283849_346ECM_N0090000NCAM00520_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283849_346ECM_N0090000NCAM00520_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283849_346ECM_N0090000NCAM00520_00_2I4J01_1200.jpg,UNK,"(0.013690357840783218,0.9996698102057008,0.02174499173348648)","(1.01992,0.6887,-1.97334);(0.00237243,0.999588,0.0288619);(-738.077,649.911,16.3564);(-1.96172,111.897,742.99);(0.000955853,0.999588,0.0289603);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(1.01992,0.6887,-1.97334)",NAVCAM_LEFT,CAHVORE
308,"(0.428444,0.0719013,0.0253556,-0.900346)",NLG_0308_0694283844_347ECM_N0090000NCAM00520_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Jan. 1, 2022 (Sol 308) at the local mean solar time of 12:44:18.",Full,Sol-00308M12:44:18.397,NASA/JPL-Caltech,2022-01-01T04:42:30.987,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0308_0694283844_347ECM_N0090000NCAM00520_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0308_0694283844_347ECM_N0090000NCAM00520_00_2I4J,0,Mars Perseverance Sol 308: Left Navigation Camera (Navcam),9,2022-01-01T15:42:13Z,89.161,-1.20618,694283845.273,4,"(0.0,0.0,0.0)","(1,1409,5120,1024)","(1280,256)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283844_347ECM_N0090000NCAM00520_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283844_347ECM_N0090000NCAM00520_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283844_347ECM_N0090000NCAM00520_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283844_347ECM_N0090000NCAM00520_00_2I4J01_1200.jpg,UNK,"(0.013690357840783218,0.9996698102057008,0.02174499173348648)","(1.01992,0.6887,-1.97334);(0.00237243,0.999588,0.0288619);(-738.077,649.911,16.3564);(-1.96172,111.897,742.99);(0.000955853,0.999588,0.0289603);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(1.01992,0.6887,-1.97334)",NAVCAM_LEFT,CAHVORE
308,"(0.428444,0.0719013,0.0253556,-0.900346)",NLG_0308_0694283839_474ECM_N0090000NCAM00520_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Jan. 1, 2022 (Sol 308) at the local mean solar time of 12:44:13.",Full,Sol-00308M12:44:13.654,NASA/JPL-Caltech,2022-01-01T04:42:26.114,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0308_0694283839_474ECM_N0090000NCAM00520_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0308_0694283839_474ECM_N0090000NCAM00520_00_2I4J,0,Mars Perseverance Sol 308: Left Navigation Camera (Navcam),9,2022-01-01T15:42:13Z,89.161,-1.20618,694283840.400,4,"(0.0,0.0,0.0)","(1,1409,5120,1024)","(1280,256)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283839_474ECM_N0090000NCAM00520_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283839_474ECM_N0090000NCAM00520_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283839_474ECM_N0090000NCAM00520_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283839_474ECM_N0090000NCAM00520_00_2I4J01_1200.jpg,UNK,"(0.013690357840783218,0.9996698102057008,0.02174499173348648)","(1.01992,0.6887,-1.97334);(0.00237243,0.999588,0.0288619);(-738.077,649.911,16.3564);(-1.96172,111.897,742.99);(0.000955853,0.999588,0.0289603);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(1.01992,0.6887,-1.97334)",NAVCAM_LEFT,CAHVORE
308,"(0.428444,0.0719013,0.0253556,-0.900346)",NLG_0308_0694283835_350ECM_N0090000NCAM00520_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Jan. 1, 2022 (Sol 308) at the local mean solar time of 12:44:09.",Full,Sol-00308M12:44:09.640,NASA/JPL-Caltech,2022-01-01T04:42:21.990,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0308_0694283835_350ECM_N0090000NCAM00520_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0308_0694283835_350ECM_N0090000NCAM00520_00_2I4J,0,Mars Perseverance Sol 308: Left Navigation Camera (Navcam),9,2022-01-01T15:42:13Z,89.161,-1.20618,694283836.276,4,"(0.0,0.0,0.0)","(1,1409,5120,1024)","(1280,256)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283835_350ECM_N0090000NCAM00520_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283835_350ECM_N0090000NCAM00520_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283835_350ECM_N0090000NCAM00520_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283835_350ECM_N0090000NCAM00520_00_2I4J01_1200.jpg,UNK,"(0.013690357840783218,0.9996698102057008,0.02174499173348648)","(1.01992,0.6887,-1.97334);(0.00237243,0.999588,0.0288619);(-738.077,649.911,16.3564);(-1.96172,111.897,742.99);(0.000955853,0.999588,0.0289603);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(1.01992,0.6887,-1.97334)",NAVCAM_LEFT,CAHVORE
308,"(0.428444,0.0719013,0.0253556,-0.900346)",NLG_0308_0694283830_487ECM_N0090000NCAM00520_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Jan. 1, 2022 (Sol 308) at the local mean solar time of 12:44:04.",Full,Sol-00308M12:44:04.908,NASA/JPL-Caltech,2022-01-01T04:42:17.127,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0308_0694283830_487ECM_N0090000NCAM00520_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0308_0694283830_487ECM_N0090000NCAM00520_00_2I4J,0,Mars Perseverance Sol 308: Left Navigation Camera (Navcam),9,2022-01-01T15:42:13Z,89.161,-1.20618,694283831.413,4,"(0.0,0.0,0.0)","(1,1409,5120,1024)","(1280,256)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283830_487ECM_N0090000NCAM00520_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283830_487ECM_N0090000NCAM00520_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283830_487ECM_N0090000NCAM00520_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283830_487ECM_N0090000NCAM00520_00_2I4J01_1200.jpg,UNK,"(0.013690357840783218,0.9996698102057008,0.02174499173348648)","(1.01992,0.6887,-1.97334);(0.00237243,0.999588,0.0288619);(-738.077,649.911,16.3564);(-1.96172,111.897,742.99);(0.000955853,0.999588,0.0289603);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(1.01992,0.6887,-1.97334)",NAVCAM_LEFT,CAHVORE
308,"(0.428444,0.0719013,0.0253556,-0.900346)",NLG_0308_0694283826_316ECM_N0090000NCAM00520_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Jan. 1, 2022 (Sol 308) at the local mean solar time of 12:44:00.",Full,Sol-00308M12:44:00.848,NASA/JPL-Caltech,2022-01-01T04:42:12.956,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0308_0694283826_316ECM_N0090000NCAM00520_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0308_0694283826_316ECM_N0090000NCAM00520_00_2I4J,0,Mars Perseverance Sol 308: Left Navigation Camera (Navcam),9,2022-01-01T15:42:13Z,89.161,-1.20618,694283827.242,4,"(0.0,0.0,0.0)","(1,1409,5120,1024)","(1280,256)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283826_316ECM_N0090000NCAM00520_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283826_316ECM_N0090000NCAM00520_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283826_316ECM_N0090000NCAM00520_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283826_316ECM_N0090000NCAM00520_00_2I4J01_1200.jpg,UNK,"(0.013690357840783218,0.9996698102057008,0.02174499173348648)","(1.01992,0.6887,-1.97334);(0.00237243,0.999588,0.0288619);(-738.077,649.911,16.3564);(-1.96172,111.897,742.99);(0.000955853,0.999588,0.0289603);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(1.01992,0.6887,-1.97334)",NAVCAM_LEFT,CAHVORE
308,"(0.428444,0.0719013,0.0253556,-0.900346)",NLG_0308_0694283820_979ECM_N0090000NCAM00520_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Jan. 1, 2022 (Sol 308) at the local mean solar time of 12:43:55.",Full,Sol-00308M12:43:55.654,NASA/JPL-Caltech,2022-01-01T04:42:07.619,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0308_0694283820_979ECM_N0090000NCAM00520_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0308_0694283820_979ECM_N0090000NCAM00520_00_2I4J,0,Mars Perseverance Sol 308: Left Navigation Camera (Navcam),9,2022-01-01T15:42:13Z,89.161,-1.20618,694283821.905,4,"(0.0,0.0,0.0)","(1,1409,5120,1024)","(1280,256)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283820_979ECM_N0090000NCAM00520_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283820_979ECM_N0090000NCAM00520_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283820_979ECM_N0090000NCAM00520_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00308/ids/edr/browse/ncam/NLG_0308_0694283820_979ECM_N0090000NCAM00520_00_2I4J01_1200.jpg,UNK,"(0.013690357840783218,0.9996698102057008,0.02174499173348648)","(1.01992,0.6887,-1.97334);(0.00237243,0.999588,0.0288619);(-738.077,649.911,16.3564);(-1.96172,111.897,742.99);(0.000955853,0.999588,0.0289603);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(1.01992,0.6887,-1.97334)",NAVCAM_LEFT,CAHVORE
