sol,attitude,imageid,caption,sample_type,date_taken_mars,credit,date_taken_utc,json_link,link,drive,title,site,date_received,extended_mastAz,extended_mastEl,extended_sclk,extended_scaleFactor,extended_xyz,extended_subframeRect,extended_dimension,image_files_medium,image_files_small,image_files_full_res,image_files_large,camera_filter_name,camera_camera_vector,camera_camera_model_component_list,camera_camera_position,camera_instrument,camera_camera_model_type
527,"(0.582874,-0.0868745,0.0901854,-0.802856)",NLF_0527_0713726823_925ECM_N0261222NCAM00712_01_095J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Aug. 14, 2022 (Sol 527) at the local mean solar time of 13:06:16.",Full,Sol-00527M13:06:16.569,NASA/JPL-Caltech,2022-08-14T05:34:43.932,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0527_0713726823_925ECM_N0261222NCAM00712_01_095J,https://mars.nasa.gov/mars2020/multimedia/raw-images/NLF_0527_0713726823_925ECM_N0261222NCAM00712_01_095J,1222,Mars Perseverance Sol 527: Left Navigation Camera (Navcam),26,2022-08-14T07:40:27Z,336.951,-45.3236,713726824.949,1,"(68.4117,-21.7435,-11.5649)","(1,1,1288,968)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_01_095J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_01_095J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_01_095J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_01_095J01_1200.jpg,UNK,"(0.5585938032507071,-0.777355259888597,0.28929528667685245)","(0.845532,0.311329,-1.86749);(0.646477,-0.261838,0.716606);(2797.36,2058.9,1849.52);(-703.572,299.609,3455.11);(0.646944,-0.260499,0.716673);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.845532,0.311329,-1.86749)",NAVCAM_LEFT,CAHVORE
527,"(0.582874,-0.0868745,0.0901854,-0.802856)",NLF_0527_0713726823_925ECM_N0261222NCAM00712_02_095J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Aug. 14, 2022 (Sol 527) at the local mean solar time of 13:06:16.",Full,Sol-00527M13:06:16.569,NASA/JPL-Caltech,2022-08-14T05:34:43.932,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0527_0713726823_925ECM_N0261222NCAM00712_02_095J,https://mars.nasa.gov/mars2020/multimedia/raw-images/NLF_0527_0713726823_925ECM_N0261222NCAM00712_02_095J,1222,Mars Perseverance Sol 527: Left Navigation Camera (Navcam),26,2022-08-14T07:40:27Z,336.951,-45.3236,713726824.949,1,"(68.4117,-21.7435,-11.5649)","(1273,1,1296,968)","(1296,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_02_095J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_02_095J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_02_095J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_02_095J01_1200.jpg,UNK,"(0.7792264478701056,-0.5340189810076672,0.3280699176445023)","(0.845532,0.311329,-1.86749);(0.646477,-0.261838,0.716606);(1975.04,2391.96,938.002);(-703.572,299.609,3455.11);(0.646944,-0.260499,0.716673);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.845532,0.311329,-1.86749)",NAVCAM_LEFT,CAHVORE
527,"(0.582874,-0.0868745,0.0901854,-0.802856)",NLF_0527_0713726823_925ECM_N0261222NCAM00712_03_095J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Aug. 14, 2022 (Sol 527) at the local mean solar time of 13:06:16.",Full,Sol-00527M13:06:16.569,NASA/JPL-Caltech,2022-08-14T05:34:43.932,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0527_0713726823_925ECM_N0261222NCAM00712_03_095J,https://mars.nasa.gov/mars2020/multimedia/raw-images/NLF_0527_0713726823_925ECM_N0261222NCAM00712_03_095J,1222,Mars Perseverance Sol 527: Left Navigation Camera (Navcam),26,2022-08-14T07:40:27Z,336.951,-45.3236,713726824.949,1,"(68.4117,-21.7435,-11.5649)","(2553,1,1296,968)","(1296,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_03_095J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_03_095J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_03_095J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_03_095J01_1200.jpg,UNK,"(0.9267585806032547,-0.18285634672763001,0.32814949297487167)","(0.845532,0.311329,-1.86749);(0.646477,-0.261838,0.716606);(1147.55,2727.11,20.7458);(-703.572,299.609,3455.11);(0.646944,-0.260499,0.716673);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.845532,0.311329,-1.86749)",NAVCAM_LEFT,CAHVORE
527,"(0.582874,-0.0868745,0.0901854,-0.802856)",NLF_0527_0713726823_925ECM_N0261222NCAM00712_04_095J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Aug. 14, 2022 (Sol 527) at the local mean solar time of 13:06:16.",Full,Sol-00527M13:06:16.569,NASA/JPL-Caltech,2022-08-14T05:34:43.932,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0527_0713726823_925ECM_N0261222NCAM00712_04_095J,https://mars.nasa.gov/mars2020/multimedia/raw-images/NLF_0527_0713726823_925ECM_N0261222NCAM00712_04_095J,1222,Mars Perseverance Sol 527: Left Navigation Camera (Navcam),26,2022-08-14T07:40:27Z,336.951,-45.3236,713726824.949,1,"(68.4117,-21.7435,-11.5649)","(3833,1,1288,968)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_04_095J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_04_095J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_04_095J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_04_095J01_1200.jpg,UNK,"(0.9456577506524292,0.14953919884970163,0.2887376778987766)","(0.845532,0.311329,-1.86749);(0.646477,-0.261838,0.716606);(320.063,3062.26,-896.51);(-703.572,299.609,3455.11);(0.646944,-0.260499,0.716673);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.845532,0.311329,-1.86749)",NAVCAM_LEFT,CAHVORE
527,"(0.582874,-0.0868745,0.0901854,-0.802856)",NLF_0527_0713726823_925ECM_N0261222NCAM00712_05_095J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Aug. 14, 2022 (Sol 527) at the local mean solar time of 13:06:16.",Full,Sol-00527M13:06:16.569,NASA/JPL-Caltech,2022-08-14T05:34:43.932,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0527_0713726823_925ECM_N0261222NCAM00712_05_095J,https://mars.nasa.gov/mars2020/multimedia/raw-images/NLF_0527_0713726823_925ECM_N0261222NCAM00712_05_095J,1222,Mars Perseverance Sol 527: Left Navigation Camera (Navcam),26,2022-08-14T07:40:27Z,336.951,-45.3236,713726824.949,1,"(68.4117,-21.7435,-11.5649)","(1,953,1288,976)","(1288,976)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_05_095J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_05_095J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_05_095J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_05_095J01_1200.jpg,UNK,"(0.42114224147119184,-0.7592942979593186,0.4960961414232988)","(0.845532,0.311329,-1.86749);(0.646477,-0.261838,0.716606);(2797.36,2058.9,1849.52);(-1319.02,548.879,2772.9);(0.646944,-0.260499,0.716673);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.845532,0.311329,-1.86749)",NAVCAM_LEFT,CAHVORE
527,"(0.582874,-0.0868745,0.0901854,-0.802856)",NLF_0527_0713726823_925ECM_N0261222NCAM00712_06_095J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Aug. 14, 2022 (Sol 527) at the local mean solar time of 13:06:16.",Full,Sol-00527M13:06:16.569,NASA/JPL-Caltech,2022-08-14T05:34:43.932,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0527_0713726823_925ECM_N0261222NCAM00712_06_095J,https://mars.nasa.gov/mars2020/multimedia/raw-images/NLF_0527_0713726823_925ECM_N0261222NCAM00712_06_095J,1222,Mars Perseverance Sol 527: Left Navigation Camera (Navcam),26,2022-08-14T07:40:27Z,336.951,-45.3236,713726824.949,1,"(68.4117,-21.7435,-11.5649)","(1273,953,1296,976)","(1296,976)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_06_095J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_06_095J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_06_095J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_06_095J01_1200.jpg,UNK,"(0.6470674897363448,-0.4995708219656294,0.575962375131302)","(0.845532,0.311329,-1.86749);(0.646477,-0.261838,0.716606);(1975.04,2391.96,938.002);(-1319.02,548.879,2772.9);(0.646944,-0.260499,0.716673);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.845532,0.311329,-1.86749)",NAVCAM_LEFT,CAHVORE
527,"(0.582874,-0.0868745,0.0901854,-0.802856)",NLF_0527_0713726823_925ECM_N0261222NCAM00712_07_095J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Aug. 14, 2022 (Sol 527) at the local mean solar time of 13:06:16.",Full,Sol-00527M13:06:16.569,NASA/JPL-Caltech,2022-08-14T05:34:43.932,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0527_0713726823_925ECM_N0261222NCAM00712_07_095J,https://mars.nasa.gov/mars2020/multimedia/raw-images/NLF_0527_0713726823_925ECM_N0261222NCAM00712_07_095J,1222,Mars Perseverance Sol 527: Left Navigation Camera (Navcam),26,2022-08-14T07:40:27Z,336.951,-45.3236,713726824.949,1,"(68.4117,-21.7435,-11.5649)","(2553,953,1296,976)","(1296,976)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_07_095J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_07_095J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_07_095J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_07_095J01_1200.jpg,UNK,"(0.8083685152383808,-0.11491447863187176,0.5773517179086424)","(0.845532,0.311329,-1.86749);(0.646477,-0.261838,0.716606);(1147.55,2727.11,20.7458);(-1319.02,548.879,2772.9);(0.646944,-0.260499,0.716673);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.845532,0.311329,-1.86749)",NAVCAM_LEFT,CAHVORE
527,"(0.582874,-0.0868745,0.0901854,-0.802856)",NLF_0527_0713726823_925ECM_N0261222NCAM00712_08_095J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Aug. 14, 2022 (Sol 527) at the local mean solar time of 13:06:16.",Full,Sol-00527M13:06:16.569,NASA/JPL-Caltech,2022-08-14T05:34:43.932,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0527_0713726823_925ECM_N0261222NCAM00712_08_095J,https://mars.nasa.gov/mars2020/multimedia/raw-images/NLF_0527_0713726823_925ECM_N0261222NCAM00712_08_095J,1222,Mars Perseverance Sol 527: Left Navigation Camera (Navcam),26,2022-08-14T07:40:27Z,336.951,-45.3236,713726824.949,1,"(68.4117,-21.7435,-11.5649)","(3833,953,1288,976)","(1288,976)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_08_095J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_08_095J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_08_095J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_08_095J01_1200.jpg,UNK,"(0.835043817493268,0.234146841157775,0.4978725536139799)","(0.845532,0.311329,-1.86749);(0.646477,-0.261838,0.716606);(320.063,3062.26,-896.51);(-1319.02,548.879,2772.9);(0.646944,-0.260499,0.716673);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.845532,0.311329,-1.86749)",NAVCAM_LEFT,CAHVORE
527,"(0.582874,-0.0868745,0.0901854,-0.802856)",NLF_0527_0713726823_925ECM_N0261222NCAM00712_09_095J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Aug. 14, 2022 (Sol 527) at the local mean solar time of 13:06:16.",Full,Sol-00527M13:06:16.569,NASA/JPL-Caltech,2022-08-14T05:34:43.932,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0527_0713726823_925ECM_N0261222NCAM00712_09_095J,https://mars.nasa.gov/mars2020/multimedia/raw-images/NLF_0527_0713726823_925ECM_N0261222NCAM00712_09_095J,1222,Mars Perseverance Sol 527: Left Navigation Camera (Navcam),26,2022-08-14T07:40:27Z,336.951,-45.3236,713726824.949,1,"(68.4117,-21.7435,-11.5649)","(1,1913,1288,976)","(1288,976)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_09_095J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_09_095J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_09_095J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_09_095J01_1200.jpg,UNK,"(0.24385808194488237,-0.6871249135542856,0.6843921310500132)","(0.845532,0.311329,-1.86749);(0.646477,-0.261838,0.716606);(2797.36,2058.9,1849.52);(-1939.64,800.244,2084.96);(0.646944,-0.260499,0.716673);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.845532,0.311329,-1.86749)",NAVCAM_LEFT,CAHVORE
527,"(0.582874,-0.0868745,0.0901854,-0.802856)",NLF_0527_0713726823_925ECM_N0261222NCAM00712_10_095J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Aug. 14, 2022 (Sol 527) at the local mean solar time of 13:06:16.",Full,Sol-00527M13:06:16.569,NASA/JPL-Caltech,2022-08-14T05:34:43.932,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0527_0713726823_925ECM_N0261222NCAM00712_10_095J,https://mars.nasa.gov/mars2020/multimedia/raw-images/NLF_0527_0713726823_925ECM_N0261222NCAM00712_10_095J,1222,Mars Perseverance Sol 527: Left Navigation Camera (Navcam),26,2022-08-14T07:40:27Z,336.951,-45.3236,713726824.949,1,"(68.4117,-21.7435,-11.5649)","(1273,1913,1296,976)","(1296,976)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_10_095J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_10_095J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_10_095J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_10_095J01_1200.jpg,UNK,"(0.44129874670786406,-0.41517176251714777,0.7955424713756477)","(0.845532,0.311329,-1.86749);(0.646477,-0.261838,0.716606);(1975.04,2391.96,938.002);(-1939.64,800.244,2084.96);(0.646944,-0.260499,0.716673);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.845532,0.311329,-1.86749)",NAVCAM_LEFT,CAHVORE
527,"(0.582874,-0.0868745,0.0901854,-0.802856)",NLF_0527_0713726823_925ECM_N0261222NCAM00712_11_095J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Aug. 14, 2022 (Sol 527) at the local mean solar time of 13:06:16.",Full,Sol-00527M13:06:16.569,NASA/JPL-Caltech,2022-08-14T05:34:43.932,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0527_0713726823_925ECM_N0261222NCAM00712_11_095J,https://mars.nasa.gov/mars2020/multimedia/raw-images/NLF_0527_0713726823_925ECM_N0261222NCAM00712_11_095J,1222,Mars Perseverance Sol 527: Left Navigation Camera (Navcam),26,2022-08-14T07:40:27Z,336.951,-45.3236,713726824.949,1,"(68.4117,-21.7435,-11.5649)","(2553,1913,1296,976)","(1296,976)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_11_095J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_11_095J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_11_095J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_11_095J01_1200.jpg,UNK,"(0.6019913254164448,-0.029218730333841536,0.7979678627119204)","(0.845532,0.311329,-1.86749);(0.646477,-0.261838,0.716606);(1147.55,2727.11,20.7458);(-1939.64,800.244,2084.96);(0.646944,-0.260499,0.716673);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.845532,0.311329,-1.86749)",NAVCAM_LEFT,CAHVORE
527,"(0.582874,-0.0868745,0.0901854,-0.802856)",NLF_0527_0713726823_925ECM_N0261222NCAM00712_12_095J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Aug. 14, 2022 (Sol 527) at the local mean solar time of 13:06:16.",Full,Sol-00527M13:06:16.569,NASA/JPL-Caltech,2022-08-14T05:34:43.932,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0527_0713726823_925ECM_N0261222NCAM00712_12_095J,https://mars.nasa.gov/mars2020/multimedia/raw-images/NLF_0527_0713726823_925ECM_N0261222NCAM00712_12_095J,1222,Mars Perseverance Sol 527: Left Navigation Camera (Navcam),26,2022-08-14T07:40:27Z,336.951,-45.3236,713726824.949,1,"(68.4117,-21.7435,-11.5649)","(3833,1913,1288,976)","(1288,976)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_12_095J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_12_095J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_12_095J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_12_095J01_1200.jpg,UNK,"(0.6565841457596033,0.30880298422407937,0.6881409568332894)","(0.845532,0.311329,-1.86749);(0.646477,-0.261838,0.716606);(320.063,3062.26,-896.51);(-1939.64,800.244,2084.96);(0.646944,-0.260499,0.716673);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.845532,0.311329,-1.86749)",NAVCAM_LEFT,CAHVORE
527,"(0.582874,-0.0868745,0.0901854,-0.802856)",NLF_0527_0713726823_925ECM_N0261222NCAM00712_13_095J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Aug. 14, 2022 (Sol 527) at the local mean solar time of 13:06:16.",Full,Sol-00527M13:06:16.569,NASA/JPL-Caltech,2022-08-14T05:34:43.932,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0527_0713726823_925ECM_N0261222NCAM00712_13_095J,https://mars.nasa.gov/mars2020/multimedia/raw-images/NLF_0527_0713726823_925ECM_N0261222NCAM00712_13_095J,1222,Mars Perseverance Sol 527: Left Navigation Camera (Navcam),26,2022-08-14T07:40:27Z,336.951,-45.3236,713726824.949,1,"(68.4117,-21.7435,-11.5649)","(1,2873,1288,968)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_13_095J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_13_095J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_13_095J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00527/ids/edr/browse/ncam/NLF_0527_0713726823_925ECM_N0261222NCAM00712_13_095J01_1200.jpg,UNK,"(0.062361559959024516,-0.5749915341936854,0.815779241857176)","(0.845532,0.311329,-1.86749);(0.646477,-0.261838,0.716606);(2797.36,2058.9,1849.52);(-2560.25,1051.61,1397.01);(0.646944,-0.260499,0.716673);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.845532,0.311329,-1.86749)",NAVCAM_LEFT,CAHVORE
